datetime_utc,X_conds,X_dewptm,X_hum,X_rain,X_tempm,X_wdire,city,date,time
24/04/17 18:00,Haze,15,30,0,30,NW,Delhi,24/04/17,18:00:00
24/04/17 15:00,Haze,15,27,0,32,NW,Delhi,24/04/17,15:00:00
24/04/17 12:00,Haze,12,14,0,36,West,Delhi,24/04/17,12:00:00
24/04/17 9:00,Haze,14,16,0,38,NW,Delhi,24/04/17,9:00:00
24/04/17 6:00,Haze,17,25,0,34,NW,Delhi,24/04/17,6:00:00
24/04/17 3:00,Haze,16,38,0,28,North,Delhi,24/04/17,3:00:00
24/04/17 0:00,Haze,15,40,0,26,WNW,Delhi,24/04/17,0:00:00
23/04/17 21:00,Haze,14,30,0,29,NW,Delhi,23/04/17,21:00:00
23/04/17 18:00,Haze,19,41,0,30,,Delhi,23/04/17,18:00:00
23/04/17 15:00,Haze,18,32,0,33,,Delhi,23/04/17,15:00:00
23/04/17 12:00,Haze,12,12,0,39,West,Delhi,23/04/17,12:00:00
23/04/17 9:00,Haze,12,12,0,39,NNW,Delhi,23/04/17,9:00:00
23/04/17 6:00,Haze,14,18,0,36,NNW,Delhi,23/04/17,6:00:00
23/04/17 3:00,Haze,15,30,0,30,NW,Delhi,23/04/17,3:00:00
23/04/17 0:00,Haze,17,45,0,27,West,Delhi,23/04/17,0:00:00
22/04/17 21:00,Haze,19,47,0,28,West,Delhi,22/04/17,21:00:00
22/04/17 18:00,Haze,19,44,0,30,WNW,Delhi,22/04/17,18:00:00
22/04/17 15:00,Haze,20,41,0,32,,Delhi,22/04/17,15:00:00
22/04/17 12:30,Light Thunderstorm,18,41,0,33,East,Delhi,22/04/17,12:30:00
22/04/17 12:00,Thunderstorm,18,30,0,34,North,Delhi,22/04/17,12:00:00
22/04/17 9:00,Widespread Dust,22,29,0,38,ENE,Delhi,22/04/17,9:00:00
22/04/17 8:00,Unknown,21,37,0,38,East,Delhi,22/04/17,8:00:00
22/04/17 6:00,Widespread Dust,24,44,0,34,NE,Delhi,22/04/17,6:00:00
22/04/17 3:00,Widespread Dust,21,42,0,32,NE,Delhi,22/04/17,3:00:00
22/04/17 0:00,Haze,22,54,0,30,,Delhi,22/04/17,0:00:00
21/04/17 21:00,Haze,21,45,0,32,ESE,Delhi,21/04/17,21:00:00
21/04/17 18:00,Haze,22,41,0,33,East,Delhi,21/04/17,18:00:00
21/04/17 15:00,Haze,22,38,0,35,East,Delhi,21/04/17,15:00:00
21/04/17 12:00,Haze,22,28,0,39,ENE,Delhi,21/04/17,12:00:00
21/04/17 9:00,Haze,21,24,0,39,NE,Delhi,21/04/17,9:00:00
21/04/17 6:00,Haze,21,32,0,36,ESE,Delhi,21/04/17,6:00:00
21/04/17 3:00,Haze,20,47,0,30,ESE,Delhi,21/04/17,3:00:00
21/04/17 0:00,Haze,23,60,0,30,ESE,Delhi,21/04/17,0:00:00
20/04/17 21:00,Haze,22,47,0,31,East,Delhi,20/04/17,21:00:00
20/04/17 18:00,Haze,20,40,0,32,East,Delhi,20/04/17,18:00:00
20/04/17 15:00,Haze,21,36,0,34,,Delhi,20/04/17,15:00:00
20/04/17 12:00,Haze,17,16,0,42,WNW,Delhi,20/04/17,12:00:00
20/04/17 9:00,Haze,15,12,0,42,West,Delhi,20/04/17,9:00:00
20/04/17 6:00,Haze,14,16,0,38,West,Delhi,20/04/17,6:00:00
20/04/17 3:00,Haze,13,26,0,30,WNW,Delhi,20/04/17,3:00:00
20/04/17 0:00,Haze,12,27,0,27,,Delhi,20/04/17,0:00:00
19/04/17 21:00,Haze,16,42,0,26,West,Delhi,19/04/17,21:00:00
19/04/17 18:00,Haze,18,42,0,29,,Delhi,19/04/17,18:00:00
19/04/17 15:00,Haze,17,29,0,33,,Delhi,19/04/17,15:00:00
19/04/17 12:00,Haze,11,10,0,41,West,Delhi,19/04/17,12:00:00
19/04/17 9:00,Haze,10,8,0,42,WNW,Delhi,19/04/17,9:00:00
19/04/17 6:00,Haze,13,13,0,39,WNW,Delhi,19/04/17,6:00:00
19/04/17 3:00,Haze,8,13,0,32,West,Delhi,19/04/17,3:00:00
19/04/17 0:00,Haze,14,36,0,26,West,Delhi,19/04/17,0:00:00
18/04/17 21:00,Haze,14,29,0,29,WSW,Delhi,18/04/17,21:00:00
18/04/17 18:00,Haze,14,26,0,31,WSW,Delhi,18/04/17,18:00:00
18/04/17 15:00,Haze,15,22,0,34,SW,Delhi,18/04/17,15:00:00
18/04/17 12:00,Widespread Dust,11,9,0,42,WNW,Delhi,18/04/17,12:00:00
18/04/17 9:00,Widespread Dust,10,8,0,42,WSW,Delhi,18/04/17,9:00:00
18/04/17 6:00,Widespread Dust,14,16,0,37,WSW,Delhi,18/04/17,6:00:00
18/04/17 5:00,Haze,13,25,0,36,West,Delhi,18/04/17,5:00:00
18/04/17 3:00,Haze,18,40,0,29,,Delhi,18/04/17,3:00:00
18/04/17 0:00,Mist,21,71,0,26,,Delhi,18/04/17,0:00:00
17/04/17 21:00,Haze,22,63,0,28,,Delhi,17/04/17,21:00:00
17/04/17 18:00,Haze,21,53,0,29,,Delhi,17/04/17,18:00:00
17/04/17 15:00,Haze,21,41,0,32,,Delhi,17/04/17,15:00:00
17/04/17 12:00,Haze,15,16,0,39,NW,Delhi,17/04/17,12:00:00
17/04/17 9:00,Haze,16,16,0,40,NE,Delhi,17/04/17,9:00:00
17/04/17 6:00,Haze,16,21,0,36,East,Delhi,17/04/17,6:00:00
17/04/17 5:30,Haze,17,34,0,35,East,Delhi,17/04/17,5:30:00
17/04/17 3:00,Haze,19,48,0,28,East,Delhi,17/04/17,3:00:00
17/04/17 0:00,Haze,18,54,0,26,,Delhi,17/04/17,0:00:00
16/04/17 21:00,Haze,18,48,0,27,,Delhi,16/04/17,21:00:00
16/04/17 18:00,Haze,20,55,0,27,,Delhi,16/04/17,18:00:00
16/04/17 15:00,Haze,19,41,0,30,,Delhi,16/04/17,15:00:00
16/04/17 12:00,Haze,14,14,0,38,NE,Delhi,16/04/17,12:00:00
16/04/17 9:00,Haze,15,15,0,39,NE,Delhi,16/04/17,9:00:00
16/04/17 6:00,Haze,14,17,0,37,ENE,Delhi,16/04/17,6:00:00
16/04/17 3:00,Haze,13,30,0,28,,Delhi,16/04/17,3:00:00
16/04/17 0:00,Haze,15,54,0,22,,Delhi,16/04/17,0:00:00
15/04/17 21:00,Haze,15,46,0,24,,Delhi,15/04/17,21:00:00
15/04/17 18:00,Haze,14,34,0,27,,Delhi,15/04/17,18:00:00
15/04/17 15:00,Haze,13,25,0,30,West,Delhi,15/04/17,15:00:00
15/04/17 12:00,Haze,8,8,0,40,WNW,Delhi,15/04/17,12:00:00
15/04/17 9:00,Haze,10,9,0,40,NNW,Delhi,15/04/17,9:00:00
15/04/17 6:00,Haze,11,12,0,37,West,Delhi,15/04/17,6:00:00
15/04/17 4:00,Haze,15,36,0,32,WSW,Delhi,15/04/17,4:00:00
15/04/17 3:00,Haze,16,38,0,28,,Delhi,15/04/17,3:00:00
15/04/17 0:00,Haze,18,66,0,23,,Delhi,15/04/17,0:00:00
14/04/17 21:00,Haze,18,62,0,24,,Delhi,14/04/17,21:00:00
14/04/17 18:00,Haze,18,48,0,27,,Delhi,14/04/17,18:00:00
14/04/17 15:00,Haze,19,42,0,29,,Delhi,14/04/17,15:00:00
14/04/17 12:00,Widespread Dust,12,11,0,40,,Delhi,14/04/17,12:00:00
14/04/17 9:00,Widespread Dust,13,12,0,40,NNE,Delhi,14/04/17,9:00:00
14/04/17 6:00,Widespread Dust,14,15,0,38,,Delhi,14/04/17,6:00:00
14/04/17 3:00,Haze,17,54,0,25,,Delhi,14/04/17,3:00:00
14/04/17 0:00,Haze,15,57,0,21,,Delhi,14/04/17,0:00:00
13/04/17 21:00,Haze,16,55,0,23,,Delhi,13/04/17,21:00:00
13/04/17 18:00,Haze,15,43,0,25,,Delhi,13/04/17,18:00:00
13/04/17 15:00,Haze,14,31,0,28,,Delhi,13/04/17,15:00:00
13/04/17 12:00,Haze,6,8,0,38,NW,Delhi,13/04/17,12:00:00
13/04/17 9:00,Smoke,6,7,0,39,WSW,Delhi,13/04/17,9:00:00
13/04/17 6:00,Haze,10,12,0,36,WSW,Delhi,13/04/17,6:00:00
13/04/17 4:00,Haze,9,27,0,30,WSW,Delhi,13/04/17,4:00:00
13/04/17 3:00,Haze,10,23,0,27,West,Delhi,13/04/17,3:00:00
13/04/17 0:00,Haze,14,56,0,21,,Delhi,13/04/17,0:00:00
12/04/17 21:00,Haze,14,49,0,22,,Delhi,12/04/17,21:00:00
12/04/17 18:00,Haze,15,43,0,25,,Delhi,12/04/17,18:00:00
12/04/17 15:00,Haze,13,26,0,29,,Delhi,12/04/17,15:00:00
12/04/17 12:00,Haze,8,9,0,38,NW,Delhi,12/04/17,12:00:00
12/04/17 9:00,Blowing Sand,8,8,0,39,NW,Delhi,12/04/17,9:00:00
12/04/17 6:00,Haze,10,14,0,34,WNW,Delhi,12/04/17,6:00:00
12/04/17 3:00,Haze,8,22,0,26,West,Delhi,12/04/17,3:00:00
12/04/17 0:00,Haze,10,37,0,21,West,Delhi,12/04/17,0:00:00
11/04/17 21:00,Haze,9,29,0,24,West,Delhi,11/04/17,21:00:00
11/04/17 18:00,Haze,9,22,0,27,WNW,Delhi,11/04/17,18:00:00
11/04/17 15:00,Haze,9,17,0,31,WNW,Delhi,11/04/17,15:00:00
11/04/17 12:00,Haze,4,7,0,36,WNW,Delhi,11/04/17,12:00:00
11/04/17 9:00,Haze,4,6,0,37,NW,Delhi,11/04/17,9:00:00
11/04/17 6:00,Haze,5,10,0,32,WNW,Delhi,11/04/17,6:00:00
11/04/17 3:00,Haze,8,22,0,25,West,Delhi,11/04/17,3:00:00
11/04/17 0:00,Haze,8,29,0,22,WNW,Delhi,11/04/17,0:00:00
10/04/17 18:00,Haze,8,23,0,25,West,Delhi,10/04/17,18:00:00
10/04/17 15:00,Haze,7,17,0,28,WNW,Delhi,10/04/17,15:00:00
10/04/17 12:00,Widespread Dust,5,9,0,33,WNW,Delhi,10/04/17,12:00:00
10/04/17 9:00,Widespread Dust,8,13,0,33,WNW,Delhi,10/04/17,9:00:00
10/04/17 6:00,Widespread Dust,9,16,0,30,WNW,Delhi,10/04/17,6:00:00
10/04/17 3:00,Haze,8,25,0,24,West,Delhi,10/04/17,3:00:00
10/04/17 0:00,Haze,9,33,0,22,WNW,Delhi,10/04/17,0:00:00
09/04/17 21:00,Haze,8,26,0,24,NW,Delhi,09/04/17,21:00:00
09/04/17 18:00,Haze,8,22,0,26,NW,Delhi,09/04/17,18:00:00
09/04/17 15:00,Haze,8,18,0,28,WNW,Delhi,09/04/17,15:00:00
09/04/17 12:00,Blowing Sand,8,14,0,32,NW,Delhi,09/04/17,12:00:00
09/04/17 9:00,Blowing Sand,6,12,0,32,WNW,Delhi,09/04/17,9:00:00
09/04/17 6:00,Blowing Sand,7,14,0,30,NW,Delhi,09/04/17,6:00:00
09/04/17 3:00,Haze,6,21,0,25,West,Delhi,09/04/17,3:00:00
09/04/17 0:00,Haze,10,42,0,20,NW,Delhi,09/04/17,0:00:00
08/04/17 21:00,Haze,11,41,0,21,NW,Delhi,08/04/17,21:00:00
08/04/17 18:00,Haze,12,39,0,23,NW,Delhi,08/04/17,18:00:00
08/04/17 15:00,Haze,12,36,0,24,,Delhi,08/04/17,15:00:00
08/04/17 12:00,Widespread Dust,7,13,0,32,WNW,Delhi,08/04/17,12:00:00
08/04/17 9:00,Widespread Dust,4,8,0,33,WSW,Delhi,08/04/17,9:00:00
08/04/17 6:00,Widespread Dust,6,11,0,32,West,Delhi,08/04/17,6:00:00
08/04/17 3:00,Widespread Dust,8,28,0,23,West,Delhi,08/04/17,3:00:00
08/04/17 0:00,Haze,11,59,0,17,,Delhi,08/04/17,0:00:00
07/04/17 21:00,Haze,12,52,0,19,,Delhi,07/04/17,21:00:00
07/04/17 18:00,Haze,10,35,0,22,,Delhi,07/04/17,18:00:00
07/04/17 15:00,Haze,8,20,0,27,WNW,Delhi,07/04/17,15:00:00
07/04/17 12:00,Widespread Dust,7,11,0,33,NW,Delhi,07/04/17,12:00:00
07/04/17 9:00,Widespread Dust,7,10,0,34,SW,Delhi,07/04/17,9:00:00
07/04/17 6:00,Widespread Dust,12,18,0,33,NW,Delhi,07/04/17,6:00:00
07/04/17 3:00,Haze,17,48,0,25,West,Delhi,07/04/17,3:00:00
07/04/17 0:00,Haze,13,45,0,23,,Delhi,07/04/17,0:00:00
06/04/17 21:00,Haze,10,25,0,26,West,Delhi,06/04/17,21:00:00
06/04/17 18:00,Haze,11,24,0,29,WNW,Delhi,06/04/17,18:00:00
06/04/17 15:00,Haze,12,23,0,31,West,Delhi,06/04/17,15:00:00
06/04/17 12:00,Blowing Sand,7,9,0,36,West,Delhi,06/04/17,12:00:00
06/04/17 10:30,Widespread Dust,7,15,0,38,SW,Delhi,06/04/17,10:30:00
06/04/17 9:00,Haze,11,11,0,38,West,Delhi,06/04/17,9:00:00
06/04/17 6:00,Haze,18,29,0,33,ESE,Delhi,06/04/17,6:00:00
06/04/17 3:00,Haze,17,48,0,26,ESE,Delhi,06/04/17,3:00:00
06/04/17 0:00,Haze,16,50,0,24,ESE,Delhi,06/04/17,0:00:00
05/04/17 21:00,Haze,16,51,0,24,SE,Delhi,05/04/17,21:00:00
05/04/17 18:00,Haze,16,46,0,25,ESE,Delhi,05/04/17,18:00:00
05/04/17 15:00,Haze,16,44,0,26,ESE,Delhi,05/04/17,15:00:00
05/04/17 12:00,Haze,18,33,0,32,East,Delhi,05/04/17,12:00:00
05/04/17 11:00,Haze,17,38,0,33,East,Delhi,05/04/17,11:00:00
05/04/17 10:00,Haze,19,41,0,34,East,Delhi,05/04/17,10:00:00
05/04/17 9:00,Haze,18,31,0,33,East,Delhi,05/04/17,9:00:00
05/04/17 6:30,Haze,19,43,0,33,ENE,Delhi,05/04/17,6:30:00
05/04/17 6:00,Haze,18,34,0,32,East,Delhi,05/04/17,6:00:00
05/04/17 5:30,Haze,18,46,0,31,East,Delhi,05/04/17,5:30:00
05/04/17 4:30,Haze,17,45,0,30,East,Delhi,05/04/17,4:30:00
05/04/17 3:00,Haze,19,62,0,25,West,Delhi,05/04/17,3:00:00
05/04/17 0:00,Haze,20,84,0,22,West,Delhi,05/04/17,0:00:00
04/04/17 21:00,Thunderstorms and Rain,16,53,1,24,SW,Delhi,04/04/17,21:00:00
04/04/17 18:00,Thunderstorms and Rain,14,30,1,28,NW,Delhi,04/04/17,18:00:00
